identificatie,postcode,huisnummer,oppervlakte,gebruiksdoel,status,pand_identificatie
0361010000001797,1813ZE,133,85,woonfunctie,Verblijfsobject in gebruik,0361100000007314
0361010000004218,1827JV,53,108,woonfunctie,Verblijfsobject in gebruik,0361100000046738
0361010000003697,1825PX,10,68,woonfunctie,Verblijfsobject in gebruik,0361100000103802
0361010000001281,1826JA,21,117,woonfunctie,Verblijfsobject in gebruik,0361100000037634
0361010000005218,1815GD,8,147,woonfunctie,Verblijfsobject in gebruik,0361100000016797
0361010000003182,1831BN,15,133,woonfunctie,Verblijfsobject in gebruik,0361100000047597
0361010000004767,1824EV,88,137,woonfunctie,Verblijfsobject in gebruik,0361100000025440
0361010000004219,1827JV,54,108,woonfunctie,Verblijfsobject in gebruik,0361100000046732
0361010000001798,1813ZE,134,95,woonfunctie,Verblijfsobject in gebruik,0361100000007314
0361010000001282,1826JC,22,139,woonfunctie,Verblijfsobject in gebruik,0361100000037602
0361010000005219,1815GD,9,158,woonfunctie,Verblijfsobject in gebruik,0361100000016507
0361010000003183,1831BN,16,132,woonfunctie,Verblijfsobject in gebruik,0361100000047547
0361010000003698,1825PX,11,68,woonfunctie,Verblijfsobject in gebruik,0361100000103802
0361010000004220,1827JV,55,108,woonfunctie,Verblijfsobject in gebruik,0361100000046731
0361010000001799,1813ZE,135,95,woonfunctie,Verblijfsobject in gebruik,0361100000007314
0361010000001283,1826JA,23,116,woonfunctie,Verblijfsobject in gebruik,0361100000037434
0361010000005220,1815GD,10,152,woonfunctie,Verblijfsobject in gebruik,0361100000016796
0361010000004769,1824EV,90,137,woonfunctie,Verblijfsobject in gebruik,0361100000025441
0361010000001800,1813ZE,136,95,woonfunctie,Verblijfsobject in gebruik,0361100000007314
0361010000002785,1816BP,73,177,woonfunctie,Verblijfsobject in gebruik,0361100000024267
0361010000004221,1827JV,56,124,woonfunctie,Verblijfsobject in gebruik,0361100000046730
0361010000001284,1826JC,24,139,woonfunctie,Verblijfsobject in gebruik,0361100000037601
