identificatie,postcode,huisnummer,oppervlakte,gebruiksdoel,status,pand_identificatie
0361010000002477,1816BZ,71,128,woonfunctie,Verblijfsobject in gebruik,0361100000102431
0361010000000143,1821CE,44,107,woonfunctie,Verblijfsobject in gebruik,0361100000010153
0361010000000522,1815HK,4,95,woonfunctie,Verblijfsobject in gebruik,0361100000013219
0361010000001387,1826DK,67,78,woonfunctie,Verblijfsobject in gebruik,0361100000035398
0361010000002478,1816BZ,72,125,woonfunctie,Verblijfsobject in gebruik,0361100000102430
0361010000002002,1825CS,68,91,woonfunctie,Verblijfsobject in gebruik,0361100000034801
0361010000001388,1826DK,68,117,woonfunctie,Verblijfsobject in gebruik,0361100000035398
0361010000002479,1816BZ,73,121,woonfunctie,Verblijfsobject in gebruik,0361100000102429
0361010000002003,1825CN,69,65,woonfunctie,Verblijfsobject in gebruik,0361100000034879
0361010000000144,1821CD,45,71,woonfunctie,Verblijfsobject in gebruik,0361100000009857
0361010000000524,1815HK,6,110,woonfunctie,Verblijfsobject in gebruik,0361100000013218
0361010000001389,1826DK,69,78,woonfunctie,Verblijfsobject in gebruik,0361100000035398
0361010000002480,1816BZ,74,121,woonfunctie,Verblijfsobject in gebruik,0361100000102428
0361010000002004,1825CS,70,94,woonfunctie,Verblijfsobject in gebruik,0361100000035007
0361010000000145,1821CE,46,107,woonfunctie,Verblijfsobject in gebruik,0361100000010151
0361010000001390,1826DK,70,117,woonfunctie,Verblijfsobject in gebruik,0361100000035398
0361010000002005,1825CN,71,90,woonfunctie,Verblijfsobject in gebruik,0361100000034879
0361010000002481,1816BZ,75,124,woonfunctie,Verblijfsobject in gebruik,0361100000102427
0361010000000146,1821CD,47,71,woonfunctie,Verblijfsobject in gebruik,0361100000009857
0361010000001391,1826DL,71,63,woonfunctie,Verblijfsobject in gebruik,0361100000035397
0361010000002006,1825CS,72,94,woonfunctie,Verblijfsobject in gebruik,0361100000035008
0361010000002482,1816BZ,76,121,woonfunctie,Verblijfsobject in gebruik,0361100000102426
0361010000001392,1826DL,72,63,woonfunctie,Verblijfsobject in gebruik,0361100000035397
0361010000000147,1821CE,48,107,woonfunctie,Verblijfsobject in gebruik,0361100000010149
0361010000000526,1815HK,8,74,woonfunctie,Verblijfsobject in gebruik,0361100000013217
0361010000002483,1816BZ,77,120,woonfunctie,Verblijfsobject in gebruik,0361100000102425
0361010000002484,1816TT,2,53,industriefunctie,Verblijfsobject in gebruik,0361100000102148
0361010000002485,1816TT,6,16,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000102147
0361010000000527,1815HK,10,95,woonfunctie,Verblijfsobject in gebruik,0361100000013215
0361010000002486,1816TT,8,16,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000102146
0361010000000148,1821CD,49,71,woonfunctie,Verblijfsobject in gebruik,0361100000009857
0361010000002487,1816TT,10,16,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000102145
0361010000001394,1826DL,74,63,woonfunctie,Verblijfsobject in gebruik,0361100000035397
0361010000002008,1825CS,74,94,woonfunctie,Verblijfsobject in gebruik,0361100000035009
0361010000000149,1821CE,50,107,woonfunctie,Verblijfsobject in gebruik,0361100000101164
0361010000001395,1826DL,75,63,woonfunctie,Verblijfsobject in gebruik,0361100000035397
0361010000002488,1816TT,12,112,woonfunctie,Verblijfsobject in gebruik,0361100000013418
0361010000000968,1814XA,1,16,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000100062
0361010000002489,1816TT,14,107,woonfunctie,Verblijfsobject in gebruik,0361100000013415
0361010000000150,1821CD,51,71,woonfunctie,Verblijfsobject in gebruik,0361100000009857
0361010000002010,1825CS,76,94,woonfunctie,Verblijfsobject in gebruik,0361100000035010
0361010000000969,1814XB,2,866,onderwijsfunctie,Verblijfsobject in gebruik,0361100000002386
0361010000000970,1814XA,3,16,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000100063
0361010000002490,1816TT,16,105,woonfunctie,Verblijfsobject in gebruik,0361100000013412
0361010000000151,1821CD,53,71,woonfunctie,Verblijfsobject in gebruik,0361100000009857
0361010000000528,1815HK,11,77,woonfunctie,Verblijfsobject in gebruik,0361100000012960
0361010000000971,1814XB,4,560,"gezondheidszorgfunctie,kantoorfunctie",Verblijfsobject in gebruik,0361100000002297
0361010000002491,1816TT,18,107,woonfunctie,Verblijfsobject in gebruik,0361100000013409
0361010000000972,1814XA,5,16,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000100064
0361010000002012,1825CS,78,83,woonfunctie,Verblijfsobject in gebruik,0361100000035175
0361010000000152,1821CD,55,71,woonfunctie,Verblijfsobject in gebruik,0361100000009857
0361010000000973,1814XA,7,16,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000100065
0361010000001397,1826DL,77,63,woonfunctie,Verblijfsobject in gebruik,0361100000103330
0361010000000974,1814XA,9,16,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000100066
0361010000002492,1816TT,20,105,woonfunctie,Verblijfsobject in gebruik,0361100000013408
0361010000000153,1821CD,57,71,woonfunctie,Verblijfsobject in gebruik,0361100000009857
0361010000000975,1814XA,11,39,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000100067
0361010000001398,1826DL,78,63,woonfunctie,Verblijfsobject in gebruik,0361100000103330
0361010000000529,1815HK,13,131,woonfunctie,Verblijfsobject in gebruik,0361100000012957
0361010000002014,1825CS,80,83,woonfunctie,Verblijfsobject in gebruik,0361100000035176
0361010000002493,1816TT,22,115,woonfunctie,Verblijfsobject in gebruik,0361100000013406
0361010000000154,1821CD,59,71,woonfunctie,Verblijfsobject in gebruik,0361100000009857
0361010000002494,1816TT,24,104,woonfunctie,Verblijfsobject in gebruik,0361100000013403
0361010000000155,1821CD,61,71,woonfunctie,Verblijfsobject in gebruik,0361100000009857
0361010000001400,1826DL,80,63,woonfunctie,Verblijfsobject in gebruik,0361100000103330
0361010000000530,1815HK,17,68,woonfunctie,Verblijfsobject in gebruik,0361100000012953
0361010000002495,1816TT,26,104,woonfunctie,Verblijfsobject in gebruik,0361100000013400
0361010000002016,1825CS,82,83,woonfunctie,Verblijfsobject in gebruik,0361100000035178
0361010000000156,1821CD,63,71,woonfunctie,Verblijfsobject in gebruik,0361100000009857
0361010000001401,1826DL,81,63,woonfunctie,Verblijfsobject in gebruik,0361100000103330
0361010000000531,1815HK,35,45,woonfunctie,Verblijfsobject in gebruik,0361100000012514
0361010000002496,1816TT,28,105,woonfunctie,Verblijfsobject in gebruik,0361100000013398
0361010000000157,1821CD,65,71,woonfunctie,Verblijfsobject in gebruik,0361100000009857
0361010000000532,1815HK,45,137,woonfunctie,Verblijfsobject in gebruik,0361100000012162
0361010000002497,1816TT,30,107,woonfunctie,Verblijfsobject in gebruik,0361100000013397
0361010000000158,1821CD,67,71,woonfunctie,Verblijfsobject in gebruik,0361100000009857
0361010000002018,1825CS,84,86,woonfunctie,Verblijfsobject in gebruik,0361100000035181
0361010000001403,1826DL,83,63,woonfunctie,Verblijfsobject in gebruik,0361100000103331
0361010000002498,1816TT,31,16,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000102149
0361010000000533,1815HK,51,87,woonfunctie,Verblijfsobject in gebruik,0361100000012048
0361010000000160,1821CB,2,107,woonfunctie,Verblijfsobject in gebruik,0361100000010274
0361010000001404,1826DL,84,63,woonfunctie,Verblijfsobject in gebruik,0361100000103331
0361010000000536,1815HL,2,82,woonfunctie,Verblijfsobject in gebruik,0361100000013392
0361010000000161,1821CA,3,107,woonfunctie,Verblijfsobject in gebruik,0361100000011022
0361010000002020,1825CS,86,83,woonfunctie,Verblijfsobject in gebruik,0361100000035183
0361010000001406,1826DL,86,63,woonfunctie,Verblijfsobject in gebruik,0361100000103331
0361010000000162,1821CB,4,107,woonfunctie,Verblijfsobject in gebruik,0361100000010269
0361010000002499,1816TT,32,108,woonfunctie,Verblijfsobject in gebruik,0361100000102144
0361010000002500,1816TT,33,16,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000102150
0361010000002022,1825CS,88,83,woonfunctie,Verblijfsobject in gebruik,0361100000035185
0361010000001407,1826DL,87,63,woonfunctie,Verblijfsobject in gebruik,0361100000103331
0361010000000163,1821CA,5,94,woonfunctie,Verblijfsobject in gebruik,0361100000011020
0361010000002501,1816TT,34,105,woonfunctie,Verblijfsobject in gebruik,0361100000013394
0361010000001408,1826DL,88,101,woonfunctie,Verblijfsobject in gebruik,0361100000103331
0361010000000164,1821CB,6,107,woonfunctie,Verblijfsobject in gebruik,0361100000010265
0361010000002502,1816TT,35,16,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000102151
0361010000002503,1816TT,36,16,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000102143
0361010000001409,1826DL,89,78,woonfunctie,Verblijfsobject in gebruik,0361100000035400
0361010000002504,1816TT,37,16,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000102152
0361010000002024,1825CT,90,83,woonfunctie,Verblijfsobject in gebruik,0361100000035296
0361010000000165,1821CA,7,94,woonfunctie,Verblijfsobject in gebruik,0361100000011019
0361010000002505,1816TT,38,16,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000102142
0361010000002506,1816TT,39,16,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000102153
0361010000001410,1826DL,90,117,woonfunctie,Verblijfsobject in gebruik,0361100000035400
0361010000000166,1821CB,8,107,woonfunctie,Verblijfsobject in gebruik,0361100000010262
0361010000002026,1825CT,92,83,woonfunctie,Verblijfsobject in gebruik,0361100000035294
0361010000001411,1826DL,91,78,woonfunctie,Verblijfsobject in gebruik,0361100000035400
0361010000000167,1821CA,9,94,woonfunctie,Verblijfsobject in gebruik,0361100000101156
0361010000002508,1817HA,8,53,woonfunctie,Verblijfsobject in gebruik,0361100000029090
0361010000001412,1826DL,92,117,woonfunctie,Verblijfsobject in gebruik,0361100000035400
0361010000000168,1821CB,10,107,woonfunctie,Verblijfsobject in gebruik,0361100000010255
0361010000000988,1814XB,37,16,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000100058
0361010000000989,1814XB,39,16,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000100059
0361010000002028,1825CT,94,86,woonfunctie,Verblijfsobject in gebruik,0361100000035291
0361010000001413,1826DL,93,78,woonfunctie,Verblijfsobject in gebruik,0361100000035408
0361010000002509,1817HA,10,53,woonfunctie,Verblijfsobject in gebruik,0361100000029090
0361010000000170,1821CB,12,107,woonfunctie,Verblijfsobject in gebruik,0361100000101154
0361010000001414,1826DL,94,117,woonfunctie,Verblijfsobject in gebruik,0361100000035408
0361010000000171,1821CA,13,94,woonfunctie,Verblijfsobject in gebruik,0361100000010503
0361010000002029,1825CP,95,133,woonfunctie,Verblijfsobject in gebruik,0361100000034942
0361010000002510,1817HA,12,53,woonfunctie,Verblijfsobject in gebruik,0361100000029090
0361010000001415,1826DL,95,78,woonfunctie,Verblijfsobject in gebruik,0361100000035408
0361010000000172,1821CB,14,107,woonfunctie,Verblijfsobject in gebruik,0361100000101155
0361010000002030,1825CT,96,83,woonfunctie,Verblijfsobject in gebruik,0361100000035287
0361010000001416,1826DL,96,117,woonfunctie,Verblijfsobject in gebruik,0361100000035408
0361010000002511,1817HA,14,53,woonfunctie,Verblijfsobject in gebruik,0361100000029090
0361010000000173,1821CA,15,94,woonfunctie,Verblijfsobject in gebruik,0361100000010499
0361010000002031,1825CT,98,86,woonfunctie,Verblijfsobject in gebruik,0361100000035285
0361010000001417,1826DM,97,119,woonfunctie,Verblijfsobject in gebruik,0361100000035450
0361010000000174,1821CB,16,107,woonfunctie,Verblijfsobject in gebruik,0361100000010254
0361010000002032,1825CT,100,83,woonfunctie,Verblijfsobject in gebruik,0361100000035282
0361010000002512,1817HA,16,53,woonfunctie,Verblijfsobject in gebruik,0361100000029090
0361010000001418,1826DM,98,119,woonfunctie,Verblijfsobject in gebruik,0361100000035449
0361010000000175,1821CA,17,94,woonfunctie,Verblijfsobject in gebruik,0361100000010496
0361010000001419,1826DM,99,119,woonfunctie,Verblijfsobject in gebruik,0361100000035447
0361010000002513,1817HA,18,53,woonfunctie,Verblijfsobject in gebruik,0361100000029090
0361010000002034,1825CT,102,83,woonfunctie,Verblijfsobject in gebruik,0361100000035281
0361010000000176,1821CB,18,112,woonfunctie,Verblijfsobject in gebruik,0361100000010253
0361010000001420,1826DM,100,119,woonfunctie,Verblijfsobject in gebruik,0361100000035446
0361010000000177,1821CA,19,94,woonfunctie,Verblijfsobject in gebruik,0361100000010494
0361010000001421,1826DM,101,119,woonfunctie,Verblijfsobject in gebruik,0361100000035444
0361010000002514,1817HA,20,53,woonfunctie,Verblijfsobject in gebruik,0361100000029083
0361010000002036,1825CT,104,83,woonfunctie,Verblijfsobject in gebruik,0361100000035280
0361010000001422,1826DM,102,119,woonfunctie,Verblijfsobject in gebruik,0361100000035442
0361010000002037,1825CP,105,135,woonfunctie,Verblijfsobject in gebruik,0361100000034991
0361010000000178,1821CB,20,107,woonfunctie,Verblijfsobject in gebruik,0361100000010250
0361010000002515,1817HA,22,53,woonfunctie,Verblijfsobject in gebruik,0361100000029083
0361010000001423,1826DM,103,119,woonfunctie,Verblijfsobject in gebruik,0361100000035441
0361010000002038,1825CT,106,91,woonfunctie,Verblijfsobject in gebruik,0361100000035261
0361010000000179,1821CA,21,94,woonfunctie,Verblijfsobject in gebruik,0361100000010491
0361010000001424,1826DM,104,119,woonfunctie,Verblijfsobject in gebruik,0361100000035439
0361010000002516,1817HA,24,53,woonfunctie,Verblijfsobject in gebruik,0361100000029083
0361010000000180,1821CB,22,107,woonfunctie,Verblijfsobject in gebruik,0361100000101158
0361010000001425,1826DM,105,119,woonfunctie,Verblijfsobject in gebruik,0361100000035437
0361010000000181,1821CA,23,94,woonfunctie,Verblijfsobject in gebruik,0361100000010490
0361010000001002,1814XB,65,16,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000100060
0361010000002517,1817HA,26,53,woonfunctie,Verblijfsobject in gebruik,0361100000029083
0361010000001426,1826DM,106,119,woonfunctie,Verblijfsobject in gebruik,0361100000035436
0361010000002039,1825CT,108,99,woonfunctie,Verblijfsobject in gebruik,0361100000035258
0361010000001003,1814XB,67,16,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000100061
0361010000000554,1817CE,18,97,woonfunctie,Verblijfsobject in gebruik,0361100000024986
0361010000000182,1821CB,24,107,woonfunctie,Verblijfsobject in gebruik,0361100000010246
0361010000001427,1826DM,107,132,woonfunctie,Verblijfsobject in gebruik,0361100000035434
0361010000001004,1829CP,1,178,woonfunctie,Verblijfsobject in gebruik,0361100000016673
0361010000002518,1817HA,28,53,woonfunctie,Verblijfsobject in gebruik,0361100000029083
0361010000000183,1821CA,25,94,woonfunctie,Verblijfsobject in gebruik,0361100000101157
0361010000001428,1826DM,108,119,woonfunctie,Verblijfsobject in gebruik,0361100000035432
0361010000001005,1829CP,2,109,woonfunctie,Verblijfsobject in gebruik,0361100000016489
0361010000000184,1821CB,26,107,woonfunctie,Verblijfsobject in gebruik,0361100000101159
0361010000002519,1817HA,30,53,woonfunctie,Verblijfsobject in gebruik,0361100000029083
0361010000001429,1826DM,109,78,woonfunctie,Verblijfsobject in gebruik,0361100000035429
0361010000000556,1826KH,2,144,woonfunctie,Verblijfsobject in gebruik,0361100000040010
0361010000001006,1829CP,3,178,woonfunctie,Verblijfsobject in gebruik,0361100000016675
0361010000002041,1825CT,112,111,woonfunctie,Verblijfsobject in gebruik,0361100000035255
0361010000000185,1821CA,27,94,woonfunctie,Verblijfsobject in gebruik,0361100000010488
0361010000001430,1826DM,110,117,woonfunctie,Verblijfsobject in gebruik,0361100000035429
0361010000002043,1825CT,114,91,woonfunctie,Verblijfsobject in gebruik,0361100000035267
0361010000001007,1829CP,4,111,woonfunctie,Verblijfsobject in gebruik,0361100000016490
0361010000002520,1817HA,32,53,woonfunctie,Verblijfsobject in gebruik,0361100000029078
0361010000000186,1821CB,28,107,woonfunctie,Verblijfsobject in gebruik,0361100000101160
0361010000001431,1826DM,111,78,woonfunctie,Verblijfsobject in gebruik,0361100000035429
0361010000000558,1826KH,4,91,woonfunctie,Verblijfsobject in gebruik,0361100000040011
0361010000002044,1825CT,116,91,woonfunctie,Verblijfsobject in gebruik,0361100000035268
0361010000001008,1829CP,5,177,woonfunctie,Verblijfsobject in gebruik,0361100000017118
0361010000001432,1826DM,112,117,woonfunctie,Verblijfsobject in gebruik,0361100000035429
0361010000000187,1821CA,29,94,woonfunctie,Verblijfsobject in gebruik,0361100000010487
0361010000002521,1817HA,34,53,woonfunctie,Verblijfsobject in gebruik,0361100000029078
0361010000002045,1825CT,118,91,woonfunctie,Verblijfsobject in gebruik,0361100000035270
0361010000001009,1829CP,6,119,woonfunctie,Verblijfsobject in gebruik,0361100000016493
0361010000001433,1826DM,113,63,woonfunctie,Verblijfsobject in gebruik,0361100000035428
0361010000000188,1821CB,30,107,woonfunctie,Verblijfsobject in gebruik,0361100000101161
0361010000000560,1826KH,6,116,woonfunctie,Verblijfsobject in gebruik,0361100000040012
0361010000002046,1825CT,120,94,woonfunctie,Verblijfsobject in gebruik,0361100000103279
0361010000001010,1829CP,7,178,woonfunctie,Verblijfsobject in gebruik,0361100000017119
0361010000002522,1817HA,36,53,woonfunctie,Verblijfsobject in gebruik,0361100000029078
0361010000001434,1826DM,114,63,woonfunctie,Verblijfsobject in gebruik,0361100000035428
0361010000000189,1821CA,31,94,woonfunctie,Verblijfsobject in gebruik,0361100000010486
0361010000002047,1825CT,122,94,woonfunctie,Verblijfsobject in gebruik,0361100000035276
0361010000001011,1829CP,9,177,woonfunctie,Verblijfsobject in gebruik,0361100000017120
0361010000000562,1826KH,8,111,woonfunctie,Verblijfsobject in gebruik,0361100000040013
0361010000002048,1825CT,124,91,woonfunctie,Verblijfsobject in gebruik,0361100000035278
0361010000001012,1829CP,11,178,woonfunctie,Verblijfsobject in gebruik,0361100000100884
0361010000002523,1817HA,38,53,woonfunctie,Verblijfsobject in gebruik,0361100000029078
0361010000000190,1821CB,32,112,woonfunctie,Verblijfsobject in gebruik,0361100000010242
0361010000001436,1826DM,116,63,woonfunctie,Verblijfsobject in gebruik,0361100000035428
0361010000002049,1825CT,126,91,woonfunctie,Verblijfsobject in gebruik,0361100000035209
0361010000001013,1829CP,13,177,woonfunctie,Verblijfsobject in gebruik,0361100000017123
0361010000001437,1826DM,117,63,woonfunctie,Verblijfsobject in gebruik,0361100000035428
0361010000002524,1817HA,40,53,woonfunctie,Verblijfsobject in gebruik,0361100000029078
0361010000002050,1825CT,128,91,woonfunctie,Verblijfsobject in gebruik,0361100000035206
0361010000000191,1821CB,34,112,woonfunctie,Verblijfsobject in gebruik,0361100000010233
0361010000000564,1826KH,10,110,woonfunctie,Verblijfsobject in gebruik,0361100000040014
0361010000001014,1829CP,15,177,woonfunctie,Verblijfsobject in gebruik,0361100000017125
0361010000001439,1826DM,119,688,bijeenkomstfunctie,Verblijfsobject in gebruik,0361100000035430
0361010000001440,1826DM,120,96,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000035430
0361010000000192,1821CB,36,107,woonfunctie,Verblijfsobject in gebruik,0361100000101162
0361010000002051,1825CT,130,91,woonfunctie,Verblijfsobject in gebruik,0361100000035205
0361010000000565,1826KE,11,95,woonfunctie,Verblijfsobject in gebruik,0361100000040025
0361010000002525,1817HA,42,53,woonfunctie,Verblijfsobject in gebruik,0361100000029078
0361010000001441,1826DM,122,96,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000035430
0361010000001015,1829CP,17,178,woonfunctie,Verblijfsobject in gebruik,0361100000017127
0361010000001442,1826DM,123,1257,onderwijsfunctie,Verblijfsobject in gebruik,0361100000035171
0361010000000193,1821CB,38,107,woonfunctie,Verblijfsobject in gebruik,0361100000010232
0361010000000566,1826KH,12,110,woonfunctie,Verblijfsobject in gebruik,0361100000040016
0361010000002052,1825CT,132,91,woonfunctie,Verblijfsobject in gebruik,0361100000035203
0361010000001016,1829CP,19,178,woonfunctie,Verblijfsobject in gebruik,0361100000017128
0361010000002526,1817HA,44,53,woonfunctie,Verblijfsobject in gebruik,0361100000029074
0361010000000194,1821CB,40,107,woonfunctie,Verblijfsobject in gebruik,0361100000010230
0361010000000567,1826KE,13,95,woonfunctie,Verblijfsobject in gebruik,0361100000040026
0361010000002053,1825CT,134,91,woonfunctie,Verblijfsobject in gebruik,0361100000035200
0361010000001443,1826DM,125,232,woonfunctie,Verblijfsobject in gebruik,0361100000035348
0361010000000568,1826KH,14,110,woonfunctie,Verblijfsobject in gebruik,0361100000040017
0361010000000195,1821CB,42,107,woonfunctie,Verblijfsobject in gebruik,0361100000010229
0361010000002054,1825CT,136,94,woonfunctie,Verblijfsobject in gebruik,0361100000035199
0361010000002527,1817HA,46,53,woonfunctie,Verblijfsobject in gebruik,0361100000029074
0361010000000569,1826KE,15,119,woonfunctie,Verblijfsobject in gebruik,0361100000040027
0361010000001444,1813LM,1,105,woonfunctie,Verblijfsobject in gebruik,0361100000000740
0361010000002055,1825CT,138,91,woonfunctie,Verblijfsobject in gebruik,0361100000035198
0361010000000196,1814RH,1,57,woonfunctie,Verblijfsobject in gebruik,0361100000006805
0361010000002528,1817HA,48,53,woonfunctie,Verblijfsobject in gebruik,0361100000029074
0361010000000570,1826KH,16,112,woonfunctie,Verblijfsobject in gebruik,0361100000040018
0361010000001445,1813LN,2,99,woonfunctie,Verblijfsobject in gebruik,0361100000000970
0361010000000571,1826KE,17,81,woonfunctie,Verblijfsobject in gebruik,0361100000040073
0361010000000197,1814RH,2,57,woonfunctie,Verblijfsobject in gebruik,0361100000006805
0361010000002056,1825CT,140,106,woonfunctie,Verblijfsobject in gebruik,0361100000035197
0361010000002529,1817HA,50,53,woonfunctie,Verblijfsobject in gebruik,0361100000029074
0361010000000572,1826KH,18,128,woonfunctie,Verbouwing verblijfsobject,0361100000040019
0361010000002530,1817HA,52,53,woonfunctie,Verblijfsobject in gebruik,0361100000029074
0361010000001446,1813LM,3,116,woonfunctie,Verblijfsobject in gebruik,0361100000000736
0361010000000573,1826KE,19,71,woonfunctie,Verblijfsobject in gebruik,0361100000040074
0361010000002057,1829BW,1,100,woonfunctie,Verblijfsobject in gebruik,0361100000014770
0361010000000198,1814RH,3,57,woonfunctie,Verblijfsobject in gebruik,0361100000006805
0361010000001447,1813LN,4,117,woonfunctie,Verblijfsobject in gebruik,0361100000000967
0361010000000574,1826KH,20,128,woonfunctie,Verblijfsobject in gebruik,0361100000040157
0361010000002058,1829BW,2,116,woonfunctie,Verblijfsobject in gebruik,0361100000100905
0361010000002531,1817HA,54,53,woonfunctie,Verblijfsobject in gebruik,0361100000029074
0361010000001027,1816MA,3,198,woonfunctie,Verblijfsobject in gebruik,0361100000008931
0361010000000575,1826KE,21,73,woonfunctie,Verblijfsobject in gebruik,0361100000040076
0361010000002059,1829BW,3,109,woonfunctie,Verblijfsobject in gebruik,0361100000014769
0361010000000199,1814RH,4,57,woonfunctie,Verblijfsobject in gebruik,0361100000006805
0361010000002532,1817HB,56,53,woonfunctie,Verblijfsobject in gebruik,0361100000029065
0361010000000576,1826KH,22,123,woonfunctie,Verblijfsobject in gebruik,0361100000040158
0361010000002060,1829BW,4,113,woonfunctie,Verblijfsobject in gebruik,0361100000100906
0361010000001028,1816MA,4,189,woonfunctie,Verblijfsobject in gebruik,0361100000009143
0361010000001450,1813LM,7,97,woonfunctie,Verblijfsobject in gebruik,0361100000000731
0361010000000200,1814RH,5,57,woonfunctie,Verblijfsobject in gebruik,0361100000006805
0361010000000577,1826KE,23,71,woonfunctie,Verblijfsobject in gebruik,0361100000040078
0361010000002533,1817HB,58,53,woonfunctie,Verblijfsobject in gebruik,0361100000029065
0361010000002061,1829BW,5,113,woonfunctie,Verblijfsobject in gebruik,0361100000100910
0361010000000578,1826KH,24,121,woonfunctie,Verblijfsobject in gebruik,0361100000040159
0361010000001451,1813LN,8,99,woonfunctie,Verblijfsobject in gebruik,0361100000000960
0361010000001029,1816MA,5,325,woonfunctie,Verblijfsobject in gebruik,0361100000008716
0361010000000201,1814RH,6,57,woonfunctie,Verblijfsobject in gebruik,0361100000006805
0361010000002062,1829BW,6,118,woonfunctie,Verblijfsobject in gebruik,0361100000100907
0361010000000579,1826KE,25,71,woonfunctie,Verblijfsobject in gebruik,0361100000040166
0361010000002534,1817HB,60,53,woonfunctie,Verblijfsobject in gebruik,0361100000029065
0361010000002063,1829BW,7,131,woonfunctie,Verblijfsobject in gebruik,0361100000014731
0361010000001030,1816MA,6,227,woonfunctie,Verblijfsobject in gebruik,0361100000009186
0361010000000580,1826KH,26,146,woonfunctie,Verblijfsobject in gebruik,0361100000040160
0361010000000202,1814RH,7,57,woonfunctie,Verblijfsobject in gebruik,0361100000006804
0361010000001453,1813LN,10,99,woonfunctie,Verblijfsobject in gebruik,0361100000000959
0361010000002535,1817HB,62,53,woonfunctie,Verblijfsobject in gebruik,0361100000029065
0361010000002064,1829BW,8,117,woonfunctie,Verblijfsobject in gebruik,0361100000100908
0361010000001031,1816MA,7,207,woonfunctie,Verblijfsobject in gebruik,0361100000008804
0361010000000203,1814RH,8,57,woonfunctie,Verblijfsobject in gebruik,0361100000006804
0361010000001032,1816MA,8,194,woonfunctie,Verblijfsobject in gebruik,0361100000009326
0361010000002065,1829BW,10,138,woonfunctie,Verblijfsobject in gebruik,0361100000014438
0361010000001033,1816MA,9,226,woonfunctie,Verblijfsobject in gebruik,0361100000008934
0361010000000204,1814RH,9,57,woonfunctie,Verblijfsobject in gebruik,0361100000006804
0361010000000581,1826KE,27,71,woonfunctie,Verblijfsobject in gebruik,0361100000040167
0361010000001454,1813LM,11,111,woonfunctie,Verblijfsobject in gebruik,0361100000000724
0361010000002066,1829BW,12,134,woonfunctie,Verblijfsobject in gebruik,0361100000014396
0361010000001034,1816MA,10,236,woonfunctie,Verblijfsobject in gebruik,0361100000009575
0361010000000582,1826KE,29,71,woonfunctie,Verblijfsobject in gebruik,0361100000040169
0361010000002536,1817HB,64,53,woonfunctie,Verblijfsobject in gebruik,0361100000029065
0361010000000205,1814RH,10,57,woonfunctie,Verblijfsobject in gebruik,0361100000006804
0361010000000583,1826KE,31,71,woonfunctie,Verblijfsobject in gebruik,0361100000040170
0361010000002067,1829BW,14,130,woonfunctie,Verblijfsobject in gebruik,0361100000100909
0361010000001035,1816MA,11,228,woonfunctie,Verblijfsobject in gebruik,0361100000008986
0361010000001455,1813LN,12,99,woonfunctie,Verblijfsobject in gebruik,0361100000000958
0361010000002537,1817HB,66,53,woonfunctie,Verblijfsobject in gebruik,0361100000029065
0361010000000584,1826KE,33,71,woonfunctie,Verblijfsobject in gebruik,0361100000040171
0361010000001036,1816MA,12,146,woonfunctie,Verblijfsobject in gebruik,0361100000009677
0361010000001456,1813LM,13,96,woonfunctie,Verblijfsobject in gebruik,0361100000000722
0361010000000206,1814RH,11,57,woonfunctie,Verblijfsobject in gebruik,0361100000006804
0361010000000585,1826KH,34,175,woonfunctie,Verblijfsobject in gebruik,0361100000040321
0361010000002538,1817HB,68,53,woonfunctie,Verblijfsobject in gebruik,0361100000029060
0361010000001037,1816MA,13,244,woonfunctie,Verblijfsobject in gebruik,0361100000009128
0361010000001457,1813LN,14,99,woonfunctie,Verblijfsobject in gebruik,0361100000000759
0361010000000586,1826KE,35,71,woonfunctie,Verblijfsobject in gebruik,0361100000040173
0361010000000207,1814RH,12,57,woonfunctie,Verblijfsobject in gebruik,0361100000006804
0361010000002070,1824EC,2,146,woonfunctie,Verblijfsobject in gebruik,0361100000025878
0361010000001038,1816MA,14,227,woonfunctie,Verblijfsobject in gebruik,0361100000101763
