postcode,p6_kwh_2023,p6_kwh_productie_2023,p6_gasm3_2023,p6_gas_aansluitingen_2023,p6_grondbeslag_m2,pc6_gemiddelde_woz_waarde_woning,pc6_eigendomssituatie_perc_koop,pc6_eigendomssituatie_perc_huur,pc6_eigendomssituatie_aantal_woningen_corporaties,buurtcode,wijkcode,gemeentecode,oppervlakte,woningequivalent,gas_ean_count,heat_demand_label_based,residential_share,address_count,p6_gasm3_2023_raw,climate_normalized,gas_input_kwh_annual,heat_gas_delivered,heat_nongas_estimated,heat_gross_annual,current_electrification_share,weight_res,weight_nonres,weight_E1,weight_E2,weight_G1,weight_G2
1483BN,3705.0,47.0,2205.7,36,1790,446,90,0,0,BU03611003,WK036110,GM0361,4045.0,33,20,896567.5,0.9696969696969697,33,1918.0,True,8404.378709999999,7732.0284132,12093.6854668,19825.71388,0.61,0.9696969696969697,0.030303030303030276,0.9696969696969697,0.030303030303030276,0.9696969696969697,0.030303030303030276
1483BP,1793.0,94.0,1381.1499999999999,22,882,0,0,0,0,BU03611003,WK036110,GM0361,315.0,3,2,129150.0,1.0,3,1201.0,True,5262.595844999999,4841.588177399999,7572.740482599998,12414.328659999997,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1483BR,1793.0,94.0,1381.1499999999999,22,882,424,0,0,0,BU03611003,WK036110,GM0361,1079.0,9,7,304732.5,1.0,9,1201.0,True,5262.595844999999,4841.588177399999,7572.740482599998,12414.328659999997,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1483BS,4729.0,495.0,1928.55,47,2936,438,0,0,0,BU03611003,WK036110,GM0361,1009.0,8,8,352865.0,1.0,8,1677.0,True,7348.354065,6760.4857398,10574.093080199998,17334.57882,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1483BT,4729.0,495.0,1928.55,47,2936,0,0,0,0,BU03611003,WK036110,GM0361,462.0,2,1,103065.0,1.0,2,1677.0,True,7348.354065,6760.4857398,10574.093080199998,17334.57882,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1483BV,4729.0,495.0,1928.55,47,2936,476,100,0,0,BU03611003,WK036110,GM0361,2467.0,17,17,803792.5,1.0,17,1677.0,True,7348.354065,6760.4857398,10574.093080199998,17334.57882,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1483BW,2677.0,266.0,1608.85,36,2428,414,0,0,0,BU03611003,WK036110,GM0361,868.0,8,8,286780.0,1.0,8,1399.0,True,6130.201155,5639.7850626,8821.2022774,14460.98734,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1483BX,2677.0,266.0,1608.85,36,2428,565,90,0,0,BU03611003,WK036110,GM0361,1958.0,12,12,581022.5,1.0,12,1399.0,True,6130.201155,5639.7850626,8821.2022774,14460.98734,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1483BZ,3421.0,593.0,1808.9499999999998,43,3091,449,90,0,0,BU03611003,WK036110,GM0361,3829.0,26,23,1157140.0,0.9259259259259259,27,1573.0,True,6892.642184999999,6341.230810199999,9918.3353698,16259.566179999998,0.61,0.9259259259259259,0.07407407407407407,0.9259259259259259,0.07407407407407407,0.9259259259259259,0.07407407407407407
1483CA,3502.0,1054.0,1659.4499999999998,22,2367,0,0,0,0,BU03611003,WK036110,GM0361,1760.0,12,12,459002.5,1.0,12,1443.0,True,6323.002334999999,5817.162148199999,9098.6382318,14915.800379999999,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1483CB,2989.0,467.0,1511.1,40,3666,320,100,0,0,BU03611003,WK036110,GM0361,3040.0,21,21,995027.5,1.0,21,1314.0,True,5757.74433,5297.1247836,8285.246456399998,13582.371239999999,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1483CC,2709.0,810.0,1512.2499999999998,26,2430,310,100,0,0,BU03611003,WK036110,GM0361,2003.0,14,14,553690.0,1.0,14,1315.0,True,5762.1261749999985,5301.156080999999,8291.551818999998,13592.707899999998,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1483CD,2737.0,462.0,1576.6499999999999,25,1797,310,100,0,0,BU03611003,WK036110,GM0361,1756.0,13,13,560285.0,1.0,13,1371.0,True,6007.509494999998,5526.9087353999985,8644.6521246,14171.560859999998,0.6100000000000001,1.0,0.0,1.0,0.0,1.0,0.0
1483CE,2454.0,506.0,1419.1,45,3328,282,80,0,0,BU03611003,WK036110,GM0361,2762.0,24,24,863402.5,1.0,24,1234.0,True,5407.19673,4974.6209916,7780.817448399998,12755.438439999998,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1483CG,3594.0,642.0,1193.6999999999998,52,2346,287,80,20,0,BU03611003,WK036110,GM0361,2822.0,28,28,768607.5,1.0,28,1038.0,True,4548.3551099999995,4184.4867011999995,6544.966378799998,10729.453079999997,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1483CH,2808.0,805.0,1683.6,37,2344,391,100,0,0,BU03611003,WK036110,GM0361,3089.0,20,20,881257.5,1.0,20,1464.0,True,6415.021079999999,5901.819393599999,9231.0508464,15132.870239999998,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1483CJ,2029.0,985.0,1138.5,32,1581,286,0,80,15,BU03611003,WK036110,GM0361,2289.0,18,18,451520.0,1.0,18,990.0,True,4338.02655,3990.984426,6242.308973999999,10233.293399999999,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1483CK,2617.0,1036.0,1362.75,30,2344,375,100,0,0,BU03611003,WK036110,GM0361,2554.0,17,17,699265.0,1.0,17,1185.0,True,5192.486325,4777.087419,7471.854681,12248.9421,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1483CL,2615.0,954.0,1178.75,36,1923,307,50,50,10,BU03611003,WK036110,GM0361,2504.0,20,20,564625.0,1.0,20,1025.0,True,4491.391124999999,4132.079835,6462.996665,10595.0765,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1483CP,2116.0,1242.0,1182.1999999999998,30,1843,335,50,50,5,BU03611003,WK036110,GM0361,1725.0,15,15,376447.5,1.0,15,1028.0,True,4504.536659999999,4144.173727199999,6481.912752799999,10626.086479999998,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1483CR,1952.0,866.0,945.3,34,1604,227,0,0,0,BU03611003,WK036110,GM0361,1652.0,18,18,317155.0,1.0,18,822.0,True,3601.876589999999,3313.7264627999994,5183.008057199999,8496.734519999998,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1483CS,2028.0,617.0,872.8499999999999,41,1941,228,20,80,15,BU03611003,WK036110,GM0361,1890.0,22,22,375532.5,1.0,22,759.0,True,3325.820355,3059.7547266,4785.770213399999,7845.524939999999,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1483CT,2945.0,526.0,1049.9499999999998,37,2746,295,70,30,5,BU03611003,WK036110,GM0361,2120.0,19,19,468040.0,1.0,19,913.0,True,4000.624484999999,3680.574526199999,5756.796053799998,9437.370579999997,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1483CV,2044.0,595.0,949.9,42,1960,226,30,70,15,BU03611003,WK036110,GM0361,1861.0,23,23,377360.0,1.0,23,826.0,True,3619.4039699999994,3329.8516523999997,5208.2295076,8538.08116,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1483CW,2149.0,1221.0,1083.3,50,3461,307,50,50,15,BU03611003,WK036110,GM0361,2976.0,26,26,586967.5,1.0,26,942.0,True,4127.697990000001,3797.4821508000005,5939.651569199999,9737.13372,0.61,1.0,0.0,1.0,0.0,1.0,0.0
1483CX,3540.0,1304.0,1435.1999999999998,29,1402,0,0,0,0,BU03611003,WK036110,GM0361,212.0,2,3,36662.5,0.6666666666666666,3,1248.0,True,5468.542559999998,5031.059155199999,7869.0925247999985,12900.151679999997,0.61,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.33333333333333337
